# TODO: Alphebatize this entire list.. yeah. good luck. But it matters.

#####################
# Special Countries #
#####################

SI7	= "countries/Aram-Damascus.txt"
U21 = "countries/Gurgum.txt"

#################
# Mesopotamia	#
#################
MIT	= "countries/Mitanni.txt"
OSR	= "countries/Osroene.txt"
CH1	= "countries/Characene.txt"
SU1 = "countries/Aiapir.txt"
SU2	= "countries/Hidali.txt"
SU3	= "countries/Der.txt"
SU4	= "countries/Zari.txt"
SU5	= "countries/Samati.txt"
SU6	= "countries/Gisati.txt"
SU7	= "countries/Zamin.txt"
SU8	= "countries/Rashi.txt"
EIM	= "countries/Elamite Empire.txt"
AD1	= "countries/Adiabene.txt"
BAB	= "countries/Babylon.txt"
ASY	= "countries/Assyria.txt"
SAG	= "countries/Sagartia.txt"
GTM	= "countries/Gutium.txt"
CAL	= "countries/Chaldea.txt"
UXI	= "countries/Uxiia.txt"
KZH	= "countries/Kassites.txt"

#############
# Arabia	#
#############
HAJ	= "countries/Hajr.txt" #Gerra
KUZ	= "countries/Kumzar.txt" #Mazun
LIH	= "countries/Lihyan.txt"
NAB	= "countries/Nabataeans.txt"
TAN	= "countries/Tanukh.txt"
SRC	= "countries/Saraceni.txt"
QED	= "countries/Qedar.txt"
ARB	= "countries/Arabia.txt"
ASA	= "countries/Saba.txt"
HIM	= "countries/Himjar.txt"
QAT	= "countries/Qataban.txt"
HAT	= "countries/Hadramaut.txt"
MIN	= "countries/Main.txt"
AMI	= "countries/Amir.txt"
BNL	= "countries/BanuLakhm.txt"
KND	= "countries/Kindah.txt"
TYY	= "countries/Tayy.txt"
AWS	= "countries/Awsan.txt"
DDN = "countries/Dedan.txt"
EMT = "countries/Taima.txt"
DEB = "countries/Debae.txt" #Iatrippa/Medina tag
AZD = "countries/Azd.txt" #Azd and Ghasssanids
ABC = "countries/Abucaei.txt" #abd al quais
SML = "countries/Sumuilu.txt" #assyrian described Šumuʾilu/Ismaelites-Andanites, north arabs
KIN = "countries/Kinaidokolpitai.txt"

#############
# Germania	#
#############
GER = "countries/Germania.txt"

# northern germanics
SUI = "countries/germanic/Suiones.txt"
DAN = "countries/germanic/Dani.txt"
TEH = "countries/germanic/Theustes.txt"
GAU = "countries/germanic/Gautigoth.txt"
RMK = "countries/germanic/Raumark.txt"

# north sea germanics / Ingaevones
HER = "countries/germanic/Herules.txt"
ANG = "countries/germanic/Anglii.txt"
CHA = "countries/germanic/Chauci.txt"
FRI = "countries/germanic/Frisii.txt"
CIM = "countries/germanic/Cimbri.txt"
TEU = "countries/germanic/Teutones.txt"
EUT = "countries/germanic/Eutii.txt"
VAR = "countries/germanic/Varini.txt"
AMB = "countries/germanic/Ambrones.txt"
AUI = "countries/germanic/Auiones.txt"

# Istvaeonic / west germanic
ANV = "countries/germanic/Angrivarii.txt"
BAT = "countries/germanic/Batavi.txt"
BRU = "countries/germanic/Bructeri.txt"
CHT = "countries/germanic/Chatti.txt"
CHM = "countries/germanic/Chamavi.txt"
CTT = "countries/germanic/Chattuarii.txt"
CHE = "countries/germanic/Cheruscii.txt"
SIG = "countries/germanic/Sigambri.txt"
TEN = "countries/germanic/Tencteri.txt"
UBI = "countries/germanic/Ubii.txt"
USP = "countries/germanic/Usipetes.txt"

# Suebi
HEM = "countries/germanic/Hermunduri.txt"
LAN = "countries/germanic/Langobardi.txt"
MAR = "countries/germanic/Marcomanni.txt"
QUA = "countries/germanic/Quadi.txt"
SEM = "countries/germanic/Semnones.txt"

# East Germanic
LGI = "countries/Lugii.txt"
BUR = "countries/germanic/Burgundi.txt"
VAN = "countries/germanic/Vandali.txt"
HRI = "countries/germanic/Harii.txt"
HLV = "countries/germanic/Helvecones.txt"
NAH = "countries/germanic/Nahanarvali.txt"
RUG = "countries/germanic/Rugii.txt"
LEM = "countries/germanic/Lemovii.txt"

# Goths
GOT = "countries/germanic/Gotones.txt"
BAS = "countries/germanic/Bastarnae.txt"
SCR = "countries/germanic/Scirii.txt"
FEN = "countries/Fenni.txt"
AES = "countries/Aesti.txt"
GAE = "countries/Galindae.txt"
BOR = "countries/Borusci.txt"

#neogermanocelt
NRS = "countries/germanic/Naristii.txt"
VGI = "countries/germanic/Vangiones.txt"
MSI = "countries/germanic/Marsii.txt"
NEM = "countries/Nemetes.txt"
MTI = "countries/germanic/Mattiaci.txt"
FOX = "countries/germanic/Fosi.txt"
NUT = "countries/germanic/Nutiones.txt"
EBR = "countries/Eburones.txt"
MSG = "countries/germanic/Marsigni.txt"
ELS = "countries/Elysii.txt"
MII = "countries/Manimi.txt"
DID = "countries/Diduni.txt"
SUD = "countries/Sudini.txt"
ALG = "countries/germanic/Alemanni.txt"

#############
# Celtic	#
#############

# Noricum
NOC = "countries/Noricum.txt"
RAE = "countries/Raetia.txt"
VIN = "countries/Vindelici.txt"
BRG = "countries/Brigantii.txt"
EST = "countries/Estiones.txt"
CAT = "countries/Cattenantes.txt"
BXR = "countries/Brixenetes.txt"
VNN = "countries/Vennontes.txt"
HEV = "countries/Helvetii.txt"
LEP = "countries/Lepontii.txt"
VLL = "countries/Vallenses.txt"
AMO = "countries/Ambisontes.txt"
RAU = "countries/Rauraci.txt"
TUL = "countries/Tulingi.txt"
TRV = "countries/Treveri.txt"
MED = "countries/Mediomatrici.txt"
PAE = "countries/Paemani.txt"
NOR = "countries/Norici.txt"
BOI = "countries/Boii.txt"

#Britannia
DUX = "countries/Dumnonii.txt"
DBX = "countries/Durotriges.txt"
REX = "countries/Regni.txt"
CAX = "countries/Cantii.txt"
DOX = "countries/Dobuni.txt"
CUX = "countries/Catuvellauni.txt"
TRX = "countries/Trinovantes.txt"
ICX = "countries/Iceni.txt"
DEX = "countries/Demetae.txt"
SIX = "countries/Silures.txt"
ORX = "countries/Ordovices.txt"
COX = "countries/Cornovii.txt"
DGX = "countries/Degeangli.txt"
CRX = "countries/Coritani.txt"
BRX = "countries/Brigantes.txt"
PAX = "countries/Parisii.txt"
NOX = "countries/Novantae.txt"
VIX = "countries/Venicones.txt"
DAX = "countries/Damnonii.txt"
SEX = "countries/Selgovae.txt"
OTX = "countries/Otadini.txt"
EPX = "countries/Epidii.txt"
CLX = "countries/Caledonii.txt"
TXX = "countries/Taexali.txt"
VAX = "countries/Vacomagi.txt"
CNX = "countries/Carnonacae.txt"
SM9 = "countries/Smertae.txt"
CVX = "countries/Cornavii.txt"
CTX = "countries/Carvetii.txt"
CCX = "countries/Corionototae.txt"
VTX = "countries/Votadini.txt"
STX = "countries/Setantii.txt"
GHX = "countries/Gahrandovices.txt"

#Hibernia
VEY = "countries/Vennicnii.txt"
CRY = "countries/Cruithin.txt"
ERY = "countries/Erdin.txt"
DAY = "countries/Darini.txt"
NAY = "countries/Nagnatae.txt"
VOY = "countries/Voluntii.txt"
AUY = "countries/Auteni.txt"
BLY = "countries/Blanii.txt"
IVY = "countries/Iverni.txt"
UTY = "countries/Utemi.txt"
VDY = "countries/Vodiae.txt"
VLY = "countries/Velabri.txt"
BRY = "countries/Brigantes2.txt"
LUY = "countries/Luceni.txt"
GAY = "countries/Gagani.txt"
DOY = "countries/Domnainn.txt"
USY = "countries/Usidae.txt"
MEY = "countries/Menapii2.txt"

#Gallia
GLI = "countries/Gallia.txt"
BEL = "countries/Belgica.txt"
BRT = "countries/Britannia.txt"
CLD = "countries/Caledonia.txt"
PIZ = "countries/Pictones.txt"
SAZ = "countries/Santones.txt"
BIZ = "countries/Bituriges.txt"
BI2 = "countries/Bituriges2.txt"
ATZ = "countries/Atrebates2.txt"
BEZ = "countries/Bellovaci.txt"
VIZ = "countries/Veliocasses.txt"
VRZ = "countries/Viromandui.txt"
NEZ = "countries/Nervii.txt"
REZ = "countries/Remi.txt"
SUZ = "countries/Suessiones.txt"
CTZ = "countries/Catalauni.txt"
LC9 = "countries/Leuci.txt"
LNZ = "countries/Lingones.txt"
SQZ = "countries/Sequani.txt"
EBZ = "countries/Eburovices.txt"
AUZ = "countries/Aulerci.txt"
RDZ = "countries/Redones.txt"
TUZ = "countries/Turones2.txt"
CA5 = "countries/Carnutes.txt"
PAZ = "countries/Parisii2.txt"
SEZ = "countries/Senones.txt"
LEZ = "countries/Lemovices.txt"
HAZ = "countries/Haedui.txt"
ARZ = "countries/Arverni.txt"
PEZ = "countries/Petrocorii.txt"
NIZ = "countries/Nitiobroges.txt"
CUZ = "countries/Curiosolites.txt"
AIZ = "countries/Ambarri.txt"
GBZ = "countries/Gaballi.txt"
VLZ = "countries/Volcates.txt"
TAZ = "countries/Tarbelli.txt"
STZ = "countries/Sotiates.txt"
ACZ = "countries/Ausci.txt"
BRZ = "countries/Bigerriones.txt"
VAZ = "countries/Volcae.txt"
RUZ = "countries/Ruteni.txt"
HEZ = "countries/Helvii.txt"
ALZ = "countries/Allobroges.txt"
VTZ = "countries/Vocontii.txt"
TOZ = "countries/Tectosages.txt"
SOZ = "countries/Sordones.txt"
AEZ = "countries/Arecomici.txt"
SL9 = "countries/Salluvi.txt"
MEN = "countries/Menapii.txt"
MSZ = "countries/Massilia.txt"
ROD = "countries/Slky.txt"
CDZ = "countries/Cadurci.txt"


#Hispania
IBB = "countries/IberianKingdom.txt"
CEQ = "countries/Ceretani.txt"
AUQ = "countries/Ausetani.txt"
LAQ = "countries/Layetani.txt"
CSQ = "countries/Cessetani.txt"
BEQ = "countries/Bergistani.txt"
ARQ = "countries/Arenosios.txt"
SEQ = "countries/Sedetani.txt"
ILQ = "countries/Ilercavones.txt"
EDQ = "countries/Edetani.txt"
COQ = "countries/Contestani.txt"
DEQ = "countries/Deitani.txt"
BAQ = "countries/Bastetani.txt"
ORQ = "countries/Oretani.txt"
TRQ = "countries/Turdetani.txt"
TTQ = "countries/Tartessii.txt"
CUQ = "countries/Cunetes.txt"
MIQ = "countries/Mirobrigeneses.txt"
CLQ = "countries/Celtici.txt"
TUQ = "countries/Turduli.txt"
CRQ = "countries/Carpetani.txt"
LOQ = "countries/Lobetani.txt"
OLQ = "countries/Olcades.txt"
TBQ = "countries/Turboletae.txt"
BLQ = "countries/Belli.txt"
LSQ = "countries/Lusones.txt"
TIQ = "countries/Titti.txt"
AEQ = "countries/Arevaci.txt"
BRQ = "countries/Berones.txt"
VAQ = "countries/Vascones.txt"
VRQ = "countries/Vardulli.txt"
CIQ = "countries/Caristii.txt"
ATQ = "countries/Autrigones.txt"
CNQ = "countries/Conisci.txt"
MOQ = "countries/Moregani.txt"
TMQ = "countries/Turmodigi.txt"
OCQ = "countries/Orcenomesci.txt"
TCQ = "countries/Tamarici.txt"
SLQ = "countries/Selini.txt"
PAQ = "countries/Paesici.txt"
ADQ = "countries/Addovi.txt"
NEQ = "countries/Neri.txt"
CPQ = "countries/Copori.txt"
GRQ = "countries/Grovi.txt"
SUQ = "countries/Seurbi.txt"
ELQ = "countries/Elbocori.txt"
CCQ = "countries/Calontienses.txt"
LNQ = "countries/Lanciences.txt"
CVQ = "countries/Calvri.txt"
PSQ = "countries/Paesuri.txt"
EMQ = "countries/Emporion.txt"
GYM = "countries/Gymnesiae.txt"
EBS = "countries/Ebusus.txt"
JD1 = "countries/Abdr't.txt"
HN1 = "countries/Sexi.txt"

#########
# Iran	#
#########
PSE = "countries/Persia.txt"
ATR = "countries/Atropatene.txt"
MDI = "countries/Media.txt"
PRS = "countries/Persis.txt"
PRT = "countries/Parthia.txt"
BAK = "countries/Bactria.txt"
GBK = "countries/Greco-Bactria.txt"
ARI = "countries/Aria.txt"
MRG = "countries/Margiana.txt"
SOG = "countries/Sogdia.txt"
FER = "countries/Fergana.txt"
ALX = "countries/AlexandriaEschate.txt"
DAH = "countries/Dahae.txt"
GED = "countries/Gedrosia.txt"
ARA = "countries/Arachosia.txt"
HYR = "countries/Hyrcania.txt"
SUS = "countries/Susiane.txt"
CAS = "countries/Caspiane.txt"
CDS = "countries/Cadusia.txt"
CRD = "countries/Corduene.txt"
SAS = "countries/Saspers.txt"
DRN = "countries/Drangiana.txt"
KRM = "countries/Karmana.txt"
ANH = "countries/Anshan.txt"
CYR = "countries/Cyrtians.txt"
CDH = "countries/Carduchi.txt"
TAP = "countries/Tapuri.txt"
ANA = "countries/Anariacae.txt"
DER = "countries/Derbikes.txt"
ISA = "countries/Isatichae.txt"
CAB = "countries/Cabadene.txt"
NSA = "countries/Nisaeia.txt"
DRC = "countries/Drachamae.txt"
CSI = "countries/Casirotae.txt"
AIA = "countries/Ariaspae.txt"
EUE = "countries/Euergetae.txt"
STT = "countries/Sattagydia.txt"
PAC = "countries/Pactyans.txt"
ORI = "countries/Orietaia.txt"
PAI = "countries/Parni.txt"
TMB = "countries/Tambyzia.txt"
CMA = "countries/Chomaria.txt"
SLA = "countries/Salatarae.txt"
ZIA = "countries/Zariaspae.txt"
DRS = "countries/Drepsiania.txt"
OXI = "countries/Oxiania.txt"
TRY = "countries/Trybactae.txt"
SAP = "countries/Sassanids.txt"
DH1 = "countries/Xanthii.txt"
DH2 = "countries/Pissuri.txt"
DH3 = "countries/Amardi.txt"
GZ1 = "countries/Parsua.txt"
GZ2 = "countries/Zamua.txt"
GZ3 = "countries/Ellipi.txt"
GZ4 = "countries/Musasir.txt"

#########
# India	#
#########
PUN = "countries/Pundra.txt"
JAL = "countries/Jalajangla.txt"
SAU = "countries/Sauvira.txt"
MAU = "countries/Maurya.txt"
KAL = "countries/Kalinga.txt"
SHB = "countries/Shabara.txt"
ASH = "countries/Ashmaka.txt"
SAT = "countries/Satavahana.txt"
KAN = "countries/Kantala.txt"
ANX = "countries/Andhra.txt"
CHR = "countries/Chera.txt"
CHO = "countries/Chola.txt"
PAN = "countries/Pandya.txt"
ANJ = "countries/Anuradhapuras.txt"
SIN = "countries/Sindhu.txt"
MLV = "countries/Malavas.txt"
GAN = "countries/Gandhara.txt"
KUR = "countries/Kuru.txt"
SUR = "countries/Saurashtra.txt"
GAG = "countries/Gangaridai.txt"
PNC = "countries/Panchala.txt"
KOS = "countries/Kosala.txt"
AVA = "countries/Avanti.txt"
DSR = "countries/Dasarna.txt"
KIR = "countries/Kirata.txt"
KAM = "countries/Kamboja.txt"
TAM = "countries/Tamilakam.txt"
DRA = "countries/Dravida.txt"
GOM = "countries/Gomanta.txt"
MUS = "countries/Mushika.txt"
AYY = "countries/Ay.txt"
KSH = "countries/Kashmira.txt"
PLI = "countries/Madra.txt"
PLU = "countries/Pulinda.txt"
TRG = "countries/Trigarta.txt"
ABH = "countries/Abhira.txt"
NIS = "countries/Nishada.txt"
MAT = "countries/Matsya.txt"
SRA = "countries/Surasena.txt"
CHD = "countries/Chedi.txt"
VAT = "countries/Vatsa.txt"
KSI = "countries/Kashi.txt"
VJJ = "countries/Vajji.txt"
AGA = "countries/Anga.txt"
VAG = "countries/Vanga.txt"
VID = "countries/Vidarbha.txt"
ODA = "countries/Odra.txt"
SMV = "countries/SimhaVamsa.txt"
NAG = "countries/Naga.txt"
YAK = "countries/Yakka.txt"
SRP = "countries/Shurparaka.txt"
SBR = "countries/Sabara.txt"
NEP = "countries/Nepa.txt"
KSU = "countries/Kusudraka.txt"
SIV = "countries/Sivi.txt"
KEK = "countries/Kekaya.txt"
YAU = "countries/Yaudheyas.txt"
AUD = "countries/Audumbaka.txt"
SKA = "countries/Sakyas.txt"
MUL = "countries/Mulakas.txt"
DDK = "countries/Dandakas.txt"
HEH = "countries/Heheya.txt"
ANU = "countries/Anupas.txt"
KAH = "countries/Karusha.txt"
KNT = "countries/Kunti.txt"
KCK = "countries/Kichaka.txt"
NSH = "countries/Nishadas.txt"
LAU = "countries/Lauhitya.txt"
VDH = "countries/Videha.txt"
MLI = "countries/Malla.txt"
PSH = "countries/Prasuhma.txt"
UTK = "countries/Utkala.txt"
AMV = "countries/Amvastha.txt"
BAH = "countries/Bahlika.txt"
DAD = "countries/Darada.txt"
SAL = "countries/Salwa.txt"
GUR = "countries/Gurjara.txt"
DWA = "countries/Dwaraka.txt"
APA = "countries/Aparanta.txt"
KON = "countries/Konkana.txt"
SUP = "countries/Suparsa.txt"
PJY = "countries/Pragjyotisha.txt"
KMP = "countries/Kamarupa.txt"
HAR = "countries/Harikela.txt"
STA = "countries/Samatata.txt"
KSM = "countries/Kasmira.txt"
DKS = "countries/Dakshina Kosala.txt"
KUT = "countries/Kutas.txt"
RAD = "countries/Radha.txt"
KDK = "countries/Kandaka.txt"
TAI = "countries/Taitilaka.txt"
GND = "countries/Gond.txt"
TLG = "countries/Telinga.txt"
KCH = "countries/Kanchi.txt"
KIS = "countries/Kishkindha.txt"
KTK = "countries/Karanataka.txt"
ASI = "countries/Asika.txt"
IDS = "countries/IndoScythians.txt"
IPT = "countries/IndoParthians.txt"
IGK = "countries/Greco-India.txt"
VDD = "countries/Veddas.txt"
BHA = "countries/Bharatavarsha.txt"
BHR = "countries/Bhrigus.txt"
KOL = "countries/Koliyas.txt"
HN7 = "countries/Carmamandalas.txt"
HN9 = "countries/Merubhutas.txt"
HD1 = "countries/Upavrittas.txt"
HD4 = "countries/Maheyas.txt"
HD6 = "countries/Andhas.txt"
HD7 = "countries/Malajas.txt"
HD8 = "countries/Manavarjjakas.txt"
HD9 = "countries/Mahyuttaras.txt"
DN1 = "countries/Pravrseyas.txt"
DN4 = "countries/Sudestas.txt"
DN5 = "countries/Yamunas.txt"
DN6 = "countries/Sakas.txt"
DN7 = "countries/Nisadas.txt"
DN8 = "countries/Nisadhas.txt"
NU2 = "countries/Pratimatsyas.txt"
NU4 = "countries/Tiragrahas.txt"
BH2 = "countries/Darvakas.txt"
BH3 = "countries/Abhisaras.txt"
BH4 = "countries/Pauravas.txt"
BH5 = "countries/Utulas.txt"
BH6 = "countries/Saivalas.txt"
BH8 = "countries/Vanavas.txt"
BA1 = "countries/Vatajamarathorajas.txt"
BA5 = "countries/Sumallis.txt"
BA6 = "countries/Badhnas.txt"
BA7 = "countries/Karisakas.txt"
BA9 = "countries/Vatayanas.txt"
BT1 = "countries/Kusavindus.txt"
BT2 = "countries/Romanas.txt"
BT3 = "countries/Gopalakaksas.txt"
BT4 = "countries/Kuruvarnakas.txt"
BT5 = "countries/Barbaras.txt"
BT6 = "countries/Siddhas.txt"
BT8 = "countries/Audras.txt"
BT9 = "countries/Saisikatas.txt"
ID1 = "countries/Parvatiyas.txt"
ID3 = "countries/Vikalyas.txt"
ID4 = "countries/Puskalas.txt"
ID5 = "countries/Jillikas.txt"
ID6 = "countries/Sauhridas.txt"
ID7 = "countries/Nalakananas.txt"
ID9 = "countries/Malavanas.txt"
II1 = "countries/Samanga.txt"
II2 = "countries/Karakas.txt"
II4 = "countries/Dhwajinyutsavasanketas.txt"
II6 = "countries/Kokarakas.txt"
II7 = "countries/Samavegavasas.txt"
II8 = "countries/Vindhyachulukas.txt"
II9 = "countries/Kalkalas.txt"
JM1 = "countries/Vallabhas.txt"
JM2 = "countries/Aparavallabhas.txt"
JM3 = "countries/Kulindas.txt"
JM4 = "countries/Kalavas.txt"
JM5 = "countries/Kunthakas.txt"
JM6 = "countries/Karatas.txt"
JM8 = "countries/Tanabalas.txt"
JM9 = "countries/Saniyas.txt"
JD2 = "countries/Alindayas.txt"
JD3 = "countries/Pasivatas.txt"
JD4 = "countries/Tanayas.txt"
JD5 = "countries/Sunayas.txt"
JD6 = "countries/Dasividharbas.txt"
JD7 = "countries/Kantikas.txt"
JD8 = "countries/Tanganas.txt"
JU1 = "countries/Sakridgrahas.txt"
JU2 = "countries/Ramanas.txt"
JU3 = "countries/Dasamalikas.txt"
JU5 = "countries/Pasus.txt"
JU6 = "countries/Khasiras.txt"
JU7 = "countries/Kulatthas.txt"
JU8 = "countries/Antacaras.txt"
JA1 = "countries/Girigahvaras.txt"
JA2 = "countries/Atreyas.txt"
JA4 = "countries/Stanayoshikas.txt"
JA5 = "countries/Prosakas.txt"
JA7 = "countries/Hansamargas.txt"
JA8 = "countries/Karabhanjikas.txt"
DV2 = "countries/Bodhas.txt"
DV3 = "countries/Malas.txt"
DV4 = "countries/Sukutyas.txt"
DV5 = "countries/Sauvalyas.txt"
DV6 = "countries/Kasikosalas.txt"
DV7 = "countries/Sindhupulindas.txt"
DV8 = "countries/Uttamas.txt"
DV9 = "countries/Bhojas.txt"
DU1 = "countries/Mekalas.txt"
DU2 = "countries/Naikaparasthas.txt"
DU3 = "countries/Dhurandaras.txt"
DU4 = "countries/Madrabhujingas.txt"
DU7 = "countries/Aparakuntis.txt"
DU8 = "countries/Mandakas.txt"
DU9 = "countries/Sandas.txt"
DM1 = "countries/Rupavahikas.txt"
DM5 = "countries/Adhivajya.txt"
DM6 = "countries/Kuladya.txt"
DM8 = "countries/Apavarhas.txt"
DF1 = "countries/Vakratapas.txt"
DF2 = "countries/Svaksas.txt"
DF3 = "countries/Vijayas.txt"
DF4 = "countries/Yakrillomas.txt"
DF6 = "countries/Prahladas.txt"
MND = "countries/Mundas.txt"
KIT = "countries/Kiratadesa.txt"
AYM = "countries/Athiyaman.txt"
ST2 = "countries/Ironkovel.txt"
ST3 = "countries/Malayaman.txt"
ST4 = "countries/Nannan.txt"
ST5 = "countries/Nanjil.txt"
ST6 = "countries/Kaandal Kura Nadu.txt"
ST8 = "countries/Mali Nadu.txt"
ST9 = "countries/Thoatti Malai.txt"
SG1 = "countries/Senga Nmaa.txt"
SG2 = "countries/Kuttuva Nadu.txt"
SG5 = "countries/Parampu Malai.txt"
SG7 = "countries/Thondai Nadu.txt"
SG9 = "countries/Mudhira Malai.txt"
SD1 = "countries/Pungi Nadu.txt"
SD3 = "countries/Vel Malai.txt"
SD4 = "countries/Oaymaan Nadu.txt"
SD5 = "countries/Athigan Nadu.txt"
SD6 = "countries/Moargur.txt"
SD7 = "countries/Payala Nadu.txt"
SD8 = "countries/Irungoe Nadu.txt"
ILA = "countries/Ilam Nadu.txt"

#############
# Steppe	#
#############
ROX = "countries/Roxolani.txt"
IAZ = "countries/Iazyges.txt"
AOR = "countries/Aorsi.txt"
SIR = "countries/Sirakoi.txt"
ALL = "countries/Alani.txt"
SCY = "countries/Scythians.txt"
TSC = "countries/Union Scythia.txt"
SAK = "countries/Sakastan.txt"
MAS = "countries/Massagetae.txt"
KHR = "countries/Khorasmii.txt"
MRD = "countries/Mardi.txt"
SK3 = "countries/Asiani.txt"
SK1 = "countries/SakaTigraxauda.txt"
SK2 = "countries/SakaHaumawarga.txt"
PAS = "countries/Pasiani.txt"
ISD = "countries/Issedones.txt"
TCH = "countries/Kushanas.txt"
SAC = "countries/Sacarauli.txt"
KGJ = "countries/Kangju.txt"
SX1 = "countries/Scytheni.txt"
SX2 = "countries/Sacaseni.txt"
SX3 = "countries/Scymnitae.txt"
SX4 = "countries/Rimphaces.txt"
SX5 = "countries/Imaduchi.txt"
SX7 = "countries/Valli.txt"
SX8 = "countries/Phoristae.txt"
SX9 = "countries/Serbi.txt"
RMM = "countries/Rami.txt"
CYM = "countries/Cimmeria.txt"
TGT = "countries/Thyssagetae.txt"
AGP = "countries/Argippaei.txt"
CLP = "countries/Callipides.txt"
ALS = "countries/Alazones.txt"
CTR = "countries/Catiaroi.txt"
TH2 = "countries/Thraspians.txt"
NEU = "countries/Neuri.txt"
GLN = "countries/Gelones.txt"
BUD = "countries/Budini.txt"
MLH = "countries/Melanchleni.txt"
AUH = "countries/Auchtai.txt"
BO2 = "countries/Borysthenites.txt"
PLL = "countries/Spalaei.txt"

#Maeotians
MAI = "countries/Maiotai.txt"
MA1 = "countries/Dandarii.txt"
MA2 = "countries/Toreatae.txt"
MA3 = "countries/Agri.txt"
MA4 = "countries/Arrechi.txt"
MA5 = "countries/Tarpetes.txt"
MA6 = "countries/Obidiaceni.txt"
MA7 = "countries/Sittaceni.txt"
MA8 = "countries/Dosci.txt"
MA9 = "countries/Iaxamatae.txt"
M10 = "countries/Toreccadae.txt"
M11 = "countries/Aspurgiani.txt"
M12 = "countries/Asturicani.txt"
AB6 = "countries/Sindi.txt"
PSS = "countries/Psessii.txt"
MZE = "countries/Mazacae.txt"

VE3 = "countries/Venetes.txt"
OSM = "countries/Osismii.txt"
NM8 = "countries/Namnetes.txt"
DB8 = "countries/Diablintes.txt"
ES8 = "countries/Essuvii.txt"
BAJ = "countries/Bajokasses.txt"
AMZ = "countries/Ambiani.txt"
MOZ = "countries/Morini.txt"

MD8 = "countries/Mandubii.txt"
EY8 = "countries/Elysices.txt"

SP8 = "countries/Superatii.txt"
GG8 = "countries/Gigurri.txt"
ZE8 = "countries/Zoelae.txt"
CR8 = "countries/Coerenses.txt"
VC8 = "countries/Vaccaei.txt"
VT8 = "countries/TurduliVeteres.txt"
TO8 = "countries/TurduliOppidani.txt"
PE8 = "countries/Paesuri.txt"
VS8 = "countries/Vescetani.txt"
VL8 = "countries/Volci.txt"

TPR = "countries/Tapori.txt"
LUS = "countries/Lusitania.txt"
CLI = "countries/Celtiberia.txt"
SYB = "countries/Sybaris.txt"

# CHINA #

RLA = "countries/Luan.txt"
FAN = "countries/Fan.txt"
CZH = "countries/ZhongHang.txt"
ZHI = "countries/Zhi.txt"
CXA = "countries/Xian.txt"
CXI = "countries/Xi.txt"
CJX = "countries/JinXu.txt"
YSG = "countries/Shang.txt"
XIA = "countries/Xia.txt"
# The country of Di
CDI = "countries/ChiDi.txt"
XIY = "countries/XianYu.txt"
WUZ = "countries/WuZhong.txt"
LOU = "countries/LouFan.txt"
YQU = "countries/YiQu.txt"
YLR = "countries/YiLuo.txt"
LHR = "countries/LuHun.txt"
CMS = "countries/ManShi.txt"
WSH = "countries/WuShi.txt"
# Dongyi
LAI = "countries/LaiYi.txt"
HYI = "countries/HuaiYi.txt"
ZWG = "countries/ZhongWu.txt"
# Princes
TGA = "countries/TangGuo.txt"
SGO = "countries/SuiGuo.txt"
LIG = "countries/LiGuo.txt"
XUG = "countries/XuGuo.txt"
HUG = "countries/HuGuo.txt"
QIG = "countries/QiGuo.txt"
SHG = "countries/ShenGuo.txt"

YIH = "countries/geguo.txt"
CHG = "countries/ChaoGuo.txt"
SJG = "countries/ShuJiu.txt"
LSH = "countries/LongShu.txt"

DAI = "countries/daiguo1.txt"
JIW = "countries/jiguo4.txt"
XGO = "countries/xingguo.txt"
BER = "countries/beirong.txt"
CAD = "countries/changdi.txt"

FEI = "countries/feiguo1.txt"
GUG = "countries/guguo1.txt"
GUZ = "countries/guzhu.txt"
JIS = "countries/jiashi.txt"
LZG = "countries/lingzhi.txt"
TUH = "countries/tuhe.txt"
HUO = "countries/huo.txt"
JIC = "countries/jiguo2.txt"
LIO = "countries/liguo2.txt"
PUG = "countries/puguo.txt"
QUW = "countries/quwo.txt"
WEO = "countries/weiguo3.txt"
XUN = "countries/xunguo.txt"
YNG = "countries/yangguo2.txt"
YUG = "countries/yuguo1.txt"
DOC = "countries/duochen.txt"
DAR = "countries/darong.txt"
GLS = "countries/gaoluoshi.txt"
LIR = "countries/lirong.txt"
LIY = "countries/liuyu.txt"
LSI = "countries/lushi.txt"
QIY = "countries/qiuyou.txt"
QJR = "countries/qiangjiuru.txt"
BIY = "countries/biyang.txt"
CEG = "countries/chengguo.txt"
DXU = "countries/duanxu.txt"
FEG = "countries/feiguo2.txt"
GAO = "countries/gaoguo.txt"
JII = "countries/jiguo3.txt"
JIG = "countries/jiguo1.txt"
LUC = "countries/luguo2.txt"
MAO = "countries/maoguo.txt"
MOU = "countries/mouguo.txt"
SUG = "countries/suiguo2.txt"
SHI = "countries/shiguo.txt"
THG = "countries/tanguo.txt"
XNG = "countries/xiangguo1.txt"
XZG = "countries/xiaozhuguo.txt"
YGG = "countries/yangguo3.txt"
YUO = "countries/yuguo2.txt"
ZHK = "countries/zhangguo.txt"
ZNG = "countries/zengguo.txt"
YIG = "countries/yiguo.txt"
JIE = "countries/jieguo.txt"
QIC = "countries/qiguo2.txt"
TAG = "countries/tan.txt"  #3
